Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
DNN	Denison Mines Corp	Basic Industries	Precious Metals	0	-0.02	0	559096600	0	0	18.4583	1.2094
DNO	US Short Oil			0	0	0	0	0	0	0	0
DOD	DJ High Yield Select 10 ETN Elements			0	0	0	0	0	0	0	0
DOG	DOW 30 Short Proshares			0	0	0	0	0	0	0	0
DOGS	Arrow Dogs of The World ETF			0	0	0	0	0	0	0	0
DOL	Intl Largecap Dividend Wisdomtree			0	-0.07	0	0	0	0	0	0
DON	Midcap Dividend Wisdomtree			0	0	0	0	0	0	0	0
DOO	Intl Div Ex-Financials Wisdomtree			0	0	0	0	0	0	0	0
DPK	Dev Mkts Bear 3X Direxion ETF			0	0	0	0	0	0	0	0
DPST	Direxion Regional Banks Bull 3X			0	1.51	0	0	0	0	0	0
DPW	Digital Power Corp	Capital Goods	Industrial Machinery/Components	0	-0.492	0	13467180	0	0	1.1414	1.1514
DRIP	Direxion S&P Oil & Gas Expl Bear 3X			0	0	0	0	0	0	0	0
DRN	Real Estate Bull 3X Direxion			0	0	0	0	0	0	0	0
DRR	Euro -2X ETN Vaneck			0	0	0	0	0	0	0	0
DRV	Real Estate Bear 3X Direxion	Consumer Services	Business Services	0	0	0	0	0	0	0	0
DRW	Global Ex-US Real Estate Wisdomtree			0	0	0	0	0	0	0	0
DSI	KLD 400 Social Index Ishares	Notes		0	0	0	0	0	0	0	0
DSS	Document Security Systems			0	-0.03	0	49507040	0	0	1.89	3.3
DSUM	Chinese Yuan Dim Sum Bond Powershares			0	0	0	0	0	0	0	0
DTD	Total Dividend Wisdomtree			0	0	0	0	0	0	0	0
DTEC	Alps Disruptive Technologies ETF			0	0	0	0	0	0	0	0
DTH	DEFA Equity Income Wisdomtree			0	0	0	0	0	0	0	0
DTN	Dividend Ex-Financials Wisdomtree			0	0	0	0	0	0	0	0
DTO	DB Crude Oil -2X ETN Powershares			0	0	0	0	0	0	0	0
DUG	Ultrashort Oil & Gas Proshares			0	0	0	0	0	0	0	0
DUSL	Direxion Daily Industrials Bull 3X Shares			0	0	0	0	0	0	0	0
DUST	Gold Miners Bear 3X Direxion ETF			0	0	0	0	0	0	0	0
DVEM	Wisdomtree EM Dividends Fund			0	0	0	0	0	0	0	0
DVHL	Etracs Mt Pay 2X Dvrsfd High Income ETN			0	0	0	0	0	0	0	0
DVP	Deep Value ETF			0	0	0	0	0	0	0	0
DVYA	Asia Pacific Dividend 30 Ishares			0	0	0	0	0	0	0	0
DVYE	Emrg Mkts Dividend Ishares			0	0	0	0	0	0	0	0
DVYL	DJ 2X Select Dividend ETN			0	0	0	0	0	0	0	0
DWM	DEFA Wisdomtree			0	0	0	0	0	0	0	0
DWT	Velocity 3X Inverse Crude Oil			0	0	0	0	0	0	0	0
DWX	S&P Dividend Intl SPDR			0	0	0	0	0	0	0	0
DXD	Ultrashort DOW 30 Proshares			0	0	0	0	0	0	0	0
DXJ	Japan Hedged Equity Wisdomtree			0	0	0	0	0	0	0	0
DXJC	Wisdomtree Japan Capital Goods Hedged Fund			0	0	0	0	0	0	0	0
DXJF	Wisdomtree Japan Financials Hedged Fund			0	0	0	0	0	0	0	0
DXJH	Wisdomtree Japan Healthcare Hedged Fund			0	0	0	0	0	0	0	0
DXJR	Wisdomtree Japan Real Estate Hedged Fund			0	0	0	0	0	0	0	0
DXR	Daxor Corp	Health Care	Medical/Dental Instruments	0	-0.21	0.7	3790646	0.03	0	30.32	1.11
DXUS	Wisdomtree Global Ex-US Hedged Divd Fund			0	0	0	0	0	0	0	0
DYB	Wisdomtree Bearish U.S. Equity Fund			0	0	0	0	0	0	0	0
DYLS	Wisdomtree L/S US Eqty Dynamic			0	0	0	0	0	0	0	0
DYY	DB Commodity 2X ETN Powershares			0	0	0	0	0	0	0	0
DZK	Dev Mkts Bull 3X Direxion ETF			0	0	0	0	0	0	0	0
DZZ	DB Gold -2X ETN Powershares			0	0	0	0	0	0	0	0
EAD	Wells Fargo Advantage	Finance	Closed-End Fund - Debt	0	0.96	8.41	0	0.72	0	0	0
EBND	EM Local Bond ETF Barclays Capital SPDR			0	0	0	0	0	0	0	0
ECF	Ellsworth Convertible Growth and Income	Finance	Closed-End Fund - Debt	0	1.43	4.85	0	0.44	0	0	0
ECF-A	Ellsworth Fund Ltd			0	0	0	0	0	0	0	0
