RESULT_COUNT: 9997,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ABRN,ABRN:UN,,2018-03-12,25.3,25.33,25.26,25.28,18153.0,0.0,1.0,25.3,25.33,25.26,25.28,18153.0
ABT,ABT:UN,BBG000B9ZZG4,2018-03-12,63.59,63.95,63.415,63.62,7680973.0,0.0,1.0,63.59,63.95,63.415,63.62,7680973.0
AUTO,AUTO:UW,BBG000BP2SW2,2018-03-12,4.0,4.11,3.8,3.97,457469.0,0.0,1.0,4.0,4.11,3.8,3.97,457469.0
ABX,ABX:UN,BBG000BB0BD3,2018-03-12,11.87,12.21,11.83,12.13,18210755.0,0.0,1.0,11.87,12.21,11.83,12.13,18210755.0
AY,AY:UW,BBG0068Q77N2,2018-03-12,19.51,19.86,19.44,19.72,383318.0,0.0,1.0,19.51,19.86,19.44,19.72,383318.0
ACAD,ACAD:UW,BBG000BHGMW8,2018-03-12,25.46,26.0199,25.3,25.89,1571550.0,0.0,1.0,25.46,26.0199,25.3,25.89,1571550.0
ACC,ACC:UN,BBG000M9KS83,2018-03-12,37.89,38.0,37.37,37.93,606941.0,0.0,1.0,37.89,38.0,37.37,37.93,606941.0
ACCO,ACCO:UN,BBG000J06ND7,2018-03-12,13.0,13.35,13.0,13.15,761775.0,0.0,1.0,13.0,13.35,13.0,13.15,761775.0
ACET,ACET:UW,BBG000BB13D0,2018-03-12,7.53,7.62,7.51,7.58,196970.0,0.0,1.0,7.53,7.62,7.51,7.58,196970.0
ACFC,ACFC:UW,BBG000BP27R4,2018-03-12,11.21,11.21,11.01,11.07,11901.0,0.0,1.0,11.21,11.21,11.01,11.07,11901.0
ACGL,ACGL:UW,BBG000HXQ125,2018-03-12,88.55,89.54,84.73,85.15,2262110.0,0.0,1.0,88.55,89.54,84.73,85.15,2262110.0
ACH,ACH:UN,BBG000CMSZ90,2018-03-12,14.73,14.751,14.591,14.65,52595.0,0.0,1.0,14.73,14.751,14.591,14.65,52595.0
ACHC,ACHC:UW,BBG0027GFCF3,2018-03-12,41.2,42.065,41.17,42.0,1072033.0,0.0,1.0,41.2,42.065,41.17,42.0,1072033.0
ACHN,ACHN:UW,BBG000BPQ3D2,2018-03-12,4.2,4.3,4.14,4.21,3107952.0,0.0,1.0,4.2,4.3,4.14,4.21,3107952.0
ACIM,ACIM:UN,BBG002PKWJP9,2018-03-12,81.24,81.28,80.3204,80.8075,3113.0,0.0,1.0,81.24,81.28,80.3204,80.8075,3113.0
ACIW,ACIW:UW,BBG000PMC3K1,2018-03-12,26.07,26.1,25.61,26.03,480652.0,0.0,1.0,26.07,26.1,25.61,26.03,480652.0
ACLS,ACLS:UW,BBG000DW4H02,2018-03-12,27.5,27.6,26.4,26.8,630451.0,0.0,1.0,27.5,27.6,26.4,26.8,630451.0
ACM,ACM:UN,BBG000F61TD0,2018-03-12,36.6,36.765,36.35,36.38,700548.0,0.0,1.0,36.6,36.765,36.35,36.38,700548.0
ACN,ACN:UN,BBG000D9DC22,2018-03-12,162.0,162.77,161.02,161.69,2104983.0,0.0,1.0,162.0,162.77,161.02,161.69,2104983.0
ACNB,ACNB:UW,BBG000BJ2TV5,2018-03-12,28.75,29.15,28.75,29.15,3601.0,0.0,1.0,28.75,29.15,28.75,29.15,3601.0
ACOR,ACOR:UW,BBG000FD2JN5,2018-03-12,25.55,26.0,25.45,25.6,358168.0,0.0,1.0,25.55,26.0,25.45,25.6,358168.0
ACP,ACP:UN,BBG0017VSC68,2018-03-12,14.09,14.18,14.02,14.12,40556.0,0.0,1.0,14.09,14.18,14.02,14.12,40556.0
ACRE,ACRE:UN,BBG0022MMQG5,2018-03-12,12.44,12.77,12.4,12.73,150161.0,0.0,1.0,12.44,12.77,12.4,12.73,150161.0
ACRX,ACRX:UW,BBG0018YYG38,2018-03-12,2.15,2.2,2.1,2.125,824294.0,0.0,1.0,2.15,2.2,2.1,2.125,824294.0
ACSF,ACSF:UW,BBG004XQWD21,2018-03-12,10.95,10.95,10.8,10.85,43350.0,0.0,1.0,10.95,10.95,10.8,10.85,43350.0
ACST,ACST:UW,,2018-03-12,0.9582,0.975,0.9308,0.96,50982.0,0.0,1.0,0.9582,0.975,0.9308,0.96,50982.0
ACTG,ACTG:UW,BBG000KF9X01,2018-03-12,3.6,3.75,3.6,3.7,176405.0,0.0,1.0,3.6,3.75,3.6,3.7,176405.0
ACU,ACU:UN,BBG000BB3M28,2018-03-12,21.75,22.3824,21.21,22.25,4746.0,0.0,1.0,21.75,22.3824,21.21,22.25,4746.0
ACV,ACV:UN,BBG008MM5VC2,2018-03-12,22.43,22.48,22.211,22.42,31042.0,0.0,1.0,22.43,22.48,22.211,22.42,31042.0
ACWF,ACWF:UN,BBG008LNZJ17,2018-03-12,31.83,31.87,31.7,31.745,15017.0,0.0,1.0,31.83,31.87,31.7,31.745,15017.0
ACWI,ACWI:UW,BBG000TH6X92,2018-03-12,74.4,74.6018,74.2,74.36,2243974.0,0.0,1.0,74.4,74.6018,74.2,74.36,2243974.0
ACWV,ACWV:UN,BBG0025X3922,2018-03-12,84.91,85.05,84.655,84.87,706762.0,0.0,1.0,84.91,85.05,84.655,84.87,706762.0
ACWX,ACWX:UW,BBG000TH7FP2,2018-03-12,50.75,50.9098,50.68,50.82,505023.0,0.0,1.0,50.75,50.9098,50.68,50.82,505023.0
ACXM,ACXM:UW,BBG000BB4VV5,2018-03-12,31.87,32.26,31.15,32.19,737143.0,0.0,1.0,31.87,32.26,31.15,32.19,737143.0
ACY,ACY:UN,BBG000B9WPP9,2018-03-12,16.55,16.6,16.305,16.6,10889.0,0.0,1.0,16.55,16.6,16.305,16.6,10889.0
