RESULT_COUNT: 32548,PAGE_SIZE: 10000,CURRENT_PAGE: 4,TOTAL_PAGES: 4,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE,CURRENCY
UELKY,,BBG000TNJR98,BBG000TNJR98,UELKY:US,Ulker Biskuvi Sanayi AS,Equity,,,,USD
UELMO,,BBG0000021P6,,UELMO:US,Union Electric Co,Pfd,PRF PERPETUAL USD 3.70,,,USD
UELMP,,BBG000005333,,UELMP:US,Union Electric Co,Pfd,PRF PERPETUAL USD 100,,,USD
UEMLF,,BBG004D94BT7,BBG004D94BT7,UEMLF:US,UEM Sunrise Berhad,Equity,Ordinary Shares,,,USD
UEPCN,,BBG000002V98,,UEPCN:US,Union Electric Co,Pfd,4.75% PRF PERPETUAL USD 4.75,,,USD
UEPCO,,BBG000003MS6,,UEPCO:US,Union Electric Co,Pfd,5.50% PRF PERPETUAL USD 5.50 - Series A 0%,,,USD
UEPCP,,BBG000002RT5,,UEPCP:US,Union Electric Co,Pfd,4.30% PRF PERPETUAL USD 4.30,,,USD
UEPEM,,BBG0000021Q5,,UEPEM:US,Union Electric Co,Pfd,PRF PERPETUAL USD 4,,,USD
UEPEN,,BBG0000021N8,,UEPEN:US,Union Electric Co,Pfd,PRF PERPETUAL USD 3.50,,,USD
UEPEO,,BBG0000021R4,,UEPEO:US,Union Electric Co,Pfd,4.50% PRF PERPETUAL USD 100,,,USD
UEPEP,,BBG0000021S3,,UEPEP:US,Union Electric Co,Pfd,4.56% PRF PERPETUAL USD 4.56,,,USD
UEPS,UEPS:UW,BBG000BXZ2B9,BBG000BXYSR6,UEPS:US,Net 1 UEPS Technologies Inc,Equity,Ordinary Shares,NASDAQ,2005-06-13,USD
UERLF,,BBG001W534K6,BBG001W533Y3,UERLF:US,Us Oil Sands Inc,Equity,Ordinary Shares,,,USD
UETMF,,BBG000G2N3S5,BBG000G2N3S5,UETMF:US,Universal Entertainment Corporation,Equity,Ordinary Shares,,,USD
