RESULT_COUNT: 120,API_CALL_CREDITS: 120,MISSING_ACCESS_CODES: com_fin_data
IDENTIFIER,TICKER,NAME,SECURITY_TYPE,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,STOCK_EXCHANGE,BETA,LONG_DESCRIPTION,CIK
EVLMC,EVLMC,Eaton Vance TABS 5-15 Yr Laddered Muni Bd NxtShs,Exchange Traded Fund,nm,nm,N/A,N/A,nm,nm,nm,nm,NasdaqGM,na,"The fundâs investment objective is to seek current income exempt from regular federal income tax. 
 Under normal market conditions, the fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in municipal obligations with final maturities of between five and fifteen years, the interest on which is exempt from regular federal income tax (the â80% Policyâ).",nm
EVLV,EVLV,EVINE Live Inc,Ordinary Shares - Class A,"6740 SHADY OAK RD, MINNEAPOLIS, MN 55344-3433",6129475200,www.evine.com,Robert J. Rosenblatt,United States of America,Minnesota,Retail,Services,NasdaqGS,na,"EVINE Live Inc. operates as a multiplatform video commerce company in the United States. The company markets, sells, and distributes products to consumers through television, online, mobile, and social media in various merchandise categories, such as jewelry and watches, which include silver, gold, and gemstones to simulated diamonds; home and consumer electronics, which include home decor, bed and bath textiles, cookware, kitchen electrics, mattresses, tabletop accessories, and home furnishings; beauty products, including skincare, cosmetics, hair care, and bath and body products; and fashion and accessories, such as apparel, outerwear, intimates, handbags, accessories, and footwear. It has access to approximately 87 million cable and satellite television homes, as well as offers its products through online at evine.com. The company was formerly known as ValueVision Media, Inc. and changed its name to EVINE Live Inc. in November 2014. EVINE Live Inc. was founded in 1990 and is headquartered in Eden Prairie, Minnesota.",0000870826
EVN,EVN,Eaton Vance Municipal Income Trust,Ordinary Shares,nm,nm,http://www.eatonvance.com/,N/A,nm,nm,Financial Services,Financial,NYSE,na,"Eaton Vance Municipal Income Trust is a close ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invests primarily in investment grade municipal obligations of various sectors, such as cogeneration, education, electric utilities, general obligations, healthcare, hospital, housing, transportation, and nursing home. Eaton Vance Municipal Income Trust was formed in 1998 and is domiciled in United States.",nm
EVO,EVO,Eaton Vance Ohio Municipal Income Trust,Ordinary Shares,nm,nm,http://funds.eatonvance.com,N/A,nm,nm,Financial Services,Financial,NYSE MKT,na,"Eaton Vance Ohio Municipal Income Trust is a closed ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invests primarily in debt securities issued by cogeneration, education, electric utilities, general obligations, hospital, industrial development, transportation, and water and sewer sectors. Eaton Vance Ohio Municipal Income Trust was formed in 1998 and is domiciled in United States.",nm
EVOK,EVOK,Evoke Pharma Inc,Ordinary Shares,"420 STEVENS AVENUE, SUITE 370, SOLANA BEACH, CA 92075",858-345-1494,www.evokepharma.com,David A. Gonyer,United States of America,California,Drugs,Healthcare,NasdaqCM,na,"Evoke Pharma, Inc., a specialty pharmaceutical company, primarily focuses on the development of drugs for the treatment of gastroenterological disorders and diseases. The company develops EVK-001, a metoclopramide nasal spray, which is in Phase III clinical trials for the relief of symptoms associated with acute and recurrent diabetic gastroparesis in women. Evoke Pharma, Inc. was founded in 2007 and is headquartered in Solana Beach, California.",0001403708
EVOL,EVOL,Evolving Systems Inc,Ordinary Shares,"9777 PYRAMID COURT, SUITE 100, ENGLEWOOD, CO 80112",3038021000,www.evolving.com,Thomas Thekkethala,United States of America,Colorado,Computer Software & Services,Technology,NasdaqCM,na,"Evolving Systems, Inc. provides software solutions and services to the wireless, wireline, and cable markets in the United Kingdom, Nigeria, Mexico, and internationally. It offers Real-time Lifecycle Marketing platform, which monitors customer events and behavioral patterns in real-time; Subscriber Identity Module (SIM) Allocation, a SIM card activation solution that allocates and assigns resources to mobile network operators devices that rely on SIM cards; and Mobile Data Enablement solution, a data consumption and policy management solution, which monitors the usage and consumption of data services for wireless carriers and mobile virtual network operators. The company also provides Total Number Management product, a scalable and fully automated database solution that enables operators to manage their telephone numbers and Internet protocols, as well as other communication identifiers; and Tertio, a service activation solution for carriers to activate a new subscriber or to add a new service to an existing subscriber, as well as provides an operating environment to manage their voice, data, and content service needs for their traditional and broadband IP networks. In addition, it offers professional and integration services for the customization, integration, and deployment of its products. The company was founded in 1985 and is headquartered in Englewood, Colorado.",0001052054
EVOPQ,EVOPQ,ENVIRONMENTAL OIL PROCESSING TECHNOLOGY CORP,Ordinary Shares,"TMI HOLDING CORP, 2801 BRANDT AVENUE, NAMPA, ID 83687",2084630063,nm,nm,United States of America,Idaho,nm,nm,nm,na,N/A,0001106928
EVOS,EVOS,EVOS USA Inc,Ordinary Shares,nm,nm,nm,nm,United States of America,Florida,nm,nm,nm,na,N/A,0001308276
