RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
AY,AY:UW,BBG0068Q7789,2018-09-04,20.59,20.7,20.545,20.7,147114.0,0.0,1.0,20.59,20.7,20.545,20.7,147114.0,1
ACAD,ACAD:UW,BBG000BHGMW8,2018-09-04,14.19,14.3,13.811,14.24,1632987.0,0.0,1.0,14.19,14.3,13.811,14.24,1632987.0,1
ACC,ACC:UN,BBG000M9KS83,2018-09-04,41.79,42.0,41.315,41.54,530290.0,0.0,1.0,41.79,42.0,41.315,41.54,530290.0,1
ACCO,ACCO:UN,BBG000J06ND7,2018-09-04,12.4,12.4,12.05,12.2,322064.0,0.0,1.0,12.4,12.4,12.05,12.2,322064.0,1
ACET,ACET:UW,BBG000BB13D0,2018-09-04,3.31,3.39,3.24,3.33,132305.0,0.0,1.0,3.31,3.39,3.24,3.33,132305.0,1
ACGL,ACGL:UW,BBG000HXQ125,2018-09-04,30.5,30.79,30.45,30.59,998787.0,0.0,1.0,30.5,30.79,30.45,30.59,998787.0,1
ACH,ACH:UN,BBG000CMSZ90,2018-09-04,10.39,10.43,10.32,10.36,43385.0,0.0,1.0,10.39,10.43,10.32,10.36,43385.0,1
ACHC,ACHC:UW,BBG0027GFC18,2018-09-04,41.69,42.48,41.48,42.23,645918.0,0.0,1.0,41.69,42.48,41.48,42.23,645918.0,1
ACHN,ACHN:UW,BBG000BPQ3D2,2018-09-04,3.44,3.615,3.39,3.6,3128443.0,0.0,1.0,3.44,3.615,3.39,3.6,3128443.0,1
ACIM,ACIM:UP,BBG002PKWJP9,2018-09-04,79.98,79.98,79.833,79.8469,1689.0,0.0,1.0,79.98,79.98,79.833,79.8469,1689.0,1
ACIW,ACIW:UW,BBG000PMC3K1,2018-09-04,28.36,28.525,28.22,28.36,359224.0,0.0,1.0,28.36,28.525,28.22,28.36,359224.0,1
ACLS,ACLS:UW,BBG000DW4H02,2018-09-04,20.35,20.6,19.85,20.25,370105.0,0.0,1.0,20.35,20.6,19.85,20.25,370105.0,1
ACM,ACM:UN,BBG000F61TD0,2018-09-04,33.51,33.61,32.61,33.0,723185.0,0.0,1.0,33.51,33.61,32.61,33.0,723185.0,1
ACN,ACN:UN,BBG000D9DC22,2018-09-04,168.76,169.59,167.88,169.5,1592488.0,0.0,1.0,168.76,169.59,167.88,169.5,1592488.0,1
ACNB,ACNB:UW,BBG000BJ2TV5,2018-09-04,35.9,35.95,35.3963,35.7,3843.0,0.0,1.0,35.9,35.95,35.3963,35.7,3843.0,1
ACOR,ACOR:UW,BBG000FD2JN5,2018-09-04,28.85,29.0,28.1,28.25,610008.0,0.0,1.0,28.85,29.0,28.1,28.25,610008.0,1
ACP,ACP:UN,BBG0017VSC68,2018-09-04,14.3,14.3,14.2,14.25,70466.0,0.0,1.0,14.3,14.3,14.2,14.25,70466.0,1
ACRE,ACRE:UN,BBG0022MMQG5,2018-09-04,14.64,14.67,14.5,14.52,68032.0,0.0,1.0,14.64,14.67,14.5,14.52,68032.0,1
ACRX,ACRX:UW,BBG0018YYG38,2018-09-04,3.1,3.3,3.075,3.3,557187.0,0.0,1.0,3.1,3.3,3.075,3.3,557187.0,1
ACST,ACST:UW,BBG001NMDXS6,2018-09-04,0.55,0.57,0.53001,0.5323,190810.0,0.0,1.0,0.55,0.57,0.53001,0.5323,190810.0,1
ACTG,ACTG:UW,BBG000KF9X01,2018-09-04,3.9,3.95,3.85,3.9,91462.0,0.0,1.0,3.9,3.95,3.85,3.9,91462.0,1
ACU,ACU:UA,BBG000BB3M28,2018-09-04,21.4057,21.51,21.25,21.4457,2553.0,0.0,1.0,21.4057,21.51,21.25,21.4457,2553.0,1
ACV,ACV:UN,BBG008MM5VC2,2018-09-04,24.88,24.97,24.801,24.95,44313.0,0.0,1.0,24.88,24.97,24.801,24.95,44313.0,1
