RESULT_COUNT: 596,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
MRHL,MRHL:IT,BBG000DWVH48,2018-09-04,0.396,0.396,0.396,0.396,10000.0,0.0,1.0,0.396,0.396,0.396,0.396,10000.0,1.0
TDRN,TDRN:IT,BBG000D8L414,2018-09-04,94.51,95.4,94.03,95.19,10137.0,0.0,1.0,94.51,95.4,94.03,95.19,10137.0,1.0
ORBI,ORBI:IT,BBG000F5DX04,2018-09-04,13.37,13.38,12.65,12.79,35176.0,0.0,1.0,13.37,13.38,12.65,12.79,35176.0,1.0
ROBO,ROBO:IT,BBG000DTC0H9,2018-09-04,1.173,1.149,1.147,1.148,8491.0,0.0,1.0,1.173,1.149,1.147,1.148,8491.0,1.0
TREN,TREN:IT,BBG000FLGHB9,2018-09-04,17.3,17.49,16.99,17.37,490.0,0.0,1.0,17.3,17.49,16.99,17.37,490.0,1.0
NICE,NICE:IT,BBG000G1WXQ3,2018-09-04,423.0,423.0,417.8,420.3,81735.0,0.0,1.0,423.0,423.0,417.8,420.3,81735.0,1.0
FNTS,FNTS:IT,BBG000G1WZT5,2018-09-04,3.602,3.68,3.261,3.424,278161.0,0.0,1.0,3.602,3.68,3.261,3.424,278161.0,1.0
CAST,CAST:IT,BBG000FMC5Y2,2018-09-04,103.5,103.2,98.37,98.37,4716.0,0.0,1.0,103.5,103.2,98.37,98.37,4716.0,1.0
IMCO,IMCO:IT,BBG000G1X0Q4,2018-09-04,9.717,10.13,9.987,10.06,394.0,0.0,1.0,9.717,10.13,9.987,10.06,394.0,1.0
BRAN,BRAN:IT,BBG000BMH5P1,2018-09-04,7.239,7.15,7.15,7.15,855.0,0.0,1.0,7.239,7.15,7.15,7.15,855.0,1.0
SCOP,SCOP:IT,BBG000G1X3J6,2018-09-04,104.3,105.1,102.4,103.2,7274.0,0.0,1.0,104.3,105.1,102.4,103.2,7274.0,1.0
TUZA,TUZA:IT,BBG000G1X5L8,2018-09-04,0.499,0.499,0.499,0.499,1000.0,0.0,1.0,0.499,0.499,0.499,0.499,1000.0,1.0
AVRT,AVRT:IT,BBG000FLKDP8,2018-09-04,0.256,0.248,0.24600000000000002,0.247,32000.0,0.0,1.0,0.256,0.248,0.24600000000000002,0.247,32000.0,1.0
RSEL,RSEL:IT,BBG000G1X9N8,2018-09-04,1.65,1.7,1.633,1.6540000000000001,17612.0,0.0,1.0,1.65,1.7,1.633,1.6540000000000001,17612.0,1.0
ARKO,ARKO:IT,BBG000MVB7Q0,2018-09-04,2.07,2.07,2.0269999999999997,2.033,276968.0,0.0,1.0,2.07,2.07,2.0269999999999997,2.033,276968.0,1.0
ASHO,ASHO:IT,BBG000BWWH21,2018-09-04,10.75,11.6,10.75,11.33,46589.0,0.0,1.0,10.75,11.6,10.75,11.33,46589.0,1.0
ASGR,ASGR:IT,BBG000BFFT67,2018-09-04,6.595,6.6579999999999995,6.47,6.518,26853.0,0.0,1.0,6.595,6.6579999999999995,6.47,6.518,26853.0,1.0
DANE,DANE:IT,BBG000C4P0H1,2018-09-04,187.0,187.2,179.7,182.9,16464.0,0.0,1.0,187.0,187.2,179.7,182.9,16464.0,1.0
FBRT,FBRT:IT,BBG000G1YMT2,2018-09-04,89.49,91.29,89.49,90.63,13369.0,0.0,1.0,89.49,91.29,89.49,90.63,13369.0,1.0
LDER,LDER:IT,BBG000BNPDQ2,2018-09-04,0.371,0.375,0.371,0.375,8742.0,0.0,1.0,0.371,0.375,0.371,0.375,8742.0,1.0
MLSR,MLSR:IT,BBG000BNJKK9,2018-09-04,163.9,164.6,160.8,163.7,21382.0,0.0,1.0,163.9,164.6,160.8,163.7,21382.0,1.0
PRTC,PRTC:IT,BBG000P273J3,2018-09-04,37.25,37.6,36.66,37.06,2412.0,0.0,1.0,37.25,37.6,36.66,37.06,2412.0,1.0
PEN,PEN:IT,BBG000BRNHD0,2018-09-04,1.811,1.81,1.808,1.8090000000000002,14975.0,0.0,1.0,1.811,1.81,1.808,1.8090000000000002,14975.0,1.0
CMER,CMER:IT,BBG000BT2108,2018-09-04,16.0,16.0,16.0,15.95,15.0,0.0,1.0,16.0,16.0,16.0,15.95,15.0,1.0
SEFA,SEFA:IT,BBG000JVFGB6,2018-09-04,0.42,0.433,0.42,0.425,29900.0,0.0,1.0,0.42,0.433,0.42,0.425,29900.0,1.0
CHAM,CHAM:IT,BBG000FMPQ72,2018-09-04,1.412,,,1.412,0.0,0.0,1.0,1.412,,,1.412,0.0,1.0
HAHO-L,HAHO-L:IT,BBG000BV1186,2018-09-04,4.523,4.523,4.523,4.523,1112.0,0.0,1.0,4.523,4.523,4.523,4.523,1112.0,1.0
MDIN.L,MDIN.L:IT,BBG000G2XPX9,2018-09-04,11.59,11.59,11.24,11.31,21390.0,0.0,1.0,11.59,11.59,11.24,11.31,21390.0,1.0
VISN,VISN:IT,BBG000FL37Z9,2018-09-04,56.13,,,56.13,0.0,0.0,1.0,56.13,,,56.13,0.0,1.0
HOD,HOD:IT,BBG000BWH043,2018-09-04,17.93,18.33,17.9,18.16,9170.0,0.0,1.0,17.93,18.33,17.9,18.16,9170.0,1.0
TLSY,TLSY:IT,BBG000BWVJ64,2018-09-04,44.97,44.97,43.0,43.0,1892.0,0.0,1.0,44.97,44.97,43.0,43.0,1892.0,1.0
APLY,APLY:IT,BBG000BZ1TT3,2018-09-04,3.6,3.64,3.43,3.4619999999999997,25394.0,0.0,1.0,3.6,3.64,3.43,3.4619999999999997,25394.0,1.0
ARNA,ARNA:IT,BBG000C0P070,2018-09-04,0.022000000000000002,0.022000000000000002,0.021,0.021,225889.0,0.0,1.0,0.022000000000000002,0.022000000000000002,0.021,0.021,225889.0,1.0
WLFD,WLFD:IT,BBG000C34M33,2018-09-04,19.67,19.85,19.1,19.53,762.0,0.0,1.0,19.67,19.85,19.1,19.53,762.0,1.0
AURA,AURA:IT,BBG000FLJ0C2,2018-09-04,2.314,2.3,2.255,2.265,62005.0,0.0,1.0,2.314,2.3,2.255,2.265,62005.0,1.0
EMCO,EMCO:IT,BBG000FJDKB0,2018-09-04,10.87,10.87,10.72,10.81,11980.0,0.0,1.0,10.87,10.87,10.72,10.81,11980.0,1.0
APIO.M,APIO.M:IT,BBG000CKCHR1,2018-09-04,,,,0.022000000000000002,0.0,0.0,1.0,,,,0.022000000000000002,0.0,1.0
HAMAT,HAMAT:IT,BBG000CKCJK4,2018-09-04,10.83,11.43,10.98,11.35,57292.0,0.0,1.0,10.83,11.43,10.98,11.35,57292.0,1.0
QNCO,QNCO:IT,BBG000HFG3G6,2018-09-04,7.147,7.5,7.0,7.319,15638.0,0.0,1.0,7.147,7.5,7.0,7.319,15638.0,1.0
ALRPR,ALRPR:IT,BBG000C33N87,2018-09-04,116.2,118.8,115.1,116.5,10508.0,0.0,1.0,116.2,118.8,115.1,116.5,10508.0,1.0
CFX,CFX:IT,BBG000FKRVS0,2018-09-04,6.724,6.789,6.506,6.654,4750.0,0.0,1.0,6.724,6.789,6.506,6.654,4750.0,1.0
ALHE,ALHE:IT,BBG000FKRYJ4,2018-09-04,37.9,38.1,37.5,37.77,160743.0,0.0,1.0,37.9,38.1,37.5,37.77,160743.0,1.0
RLCO,RLCO:IT,BBG000M931R0,2018-09-04,24.56,24.31,24.31,24.49,23.0,0.0,1.0,24.56,24.31,24.31,24.49,23.0,1.0
RATI.L,RATI.L:IT,BBG000FMPNC3,2018-09-04,2.56,2.572,2.508,2.52,837710.0,0.0,1.0,2.56,2.572,2.508,2.52,837710.0,1.0
BRIL,BRIL:IT,BBG000FLSX94,2018-09-04,8.773,9.0,8.773,8.982000000000001,578.0,0.0,1.0,8.773,9.0,8.773,8.982000000000001,578.0,1.0
DUNI,DUNI:IT,BBG000BYWGF5,2018-09-04,69.62,69.62,68.61,69.0,2188.0,0.0,1.0,69.62,69.62,68.61,69.0,2188.0,1.0
TMDA-M,TMDA-M:IT,BBG000FMSKM5,2018-09-04,1.35,1.35,1.35,1.35,330.0,0.0,1.0,1.35,1.35,1.35,1.35,330.0,1.0
PAYT,PAYT:IT,BBG000G1NYK7,2018-09-04,62.58,64.3,58.01,59.85,29421.0,0.0,1.0,62.58,64.3,58.01,59.85,29421.0,1.0
AVIA,AVIA:IT,BBG000G1NZ88,2018-09-04,11.87,11.87,11.37,11.44,1363.0,0.0,1.0,11.87,11.87,11.37,11.44,1363.0,1.0
VILR,VILR:IT,BBG000G1ZS72,2018-09-04,94.96,94.79,94.7,94.75,90.0,0.0,1.0,94.96,94.79,94.7,94.75,90.0,1.0
